Date,Hour,C1_D,C2_D,C3_D,TS_D,TS_C,Ab_D,B1_D,B2_D,B3_D,Bat_Ch,Bat_Dis,Mt_P,FC_P,Electricity_Price,NaturalGas_Price,RE_P,OAT,ElectricityPrice,NaturalGasPrice,Month,OABD,,Sizing:,kW
1/1/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3506305,6.884,0,-12.2,0.3506305,6.884,1,-12.2,,Fuel Cell,0
1/1/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.350569,6.884,0,-11.7,0.350569,6.884,1,-11.7,,Microturbine,242
1/1/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.342246,6.884,0,-11.1,0.342246,6.884,1,-11.1,,Battery,500
1/1/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.346264,6.884,0,-11.1,0.346264,6.884,1,-11.1,,Thermal Storage,0
1/1/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.340893,6.884,0,-10.6,0.340893,6.884,1,-10.6,,Recip Engine,788
1/1/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.350118,6.884,0,-10.6,0.350118,6.884,1,-10.6,,,
1/1/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3196345,6.884,0,-10.6,0.3196345,6.884,1,-10.6,,,
1/1/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3460385,6.884,0,-10,0.3460385,6.884,1,-10,,,
1/1/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3653495,6.884,0,-8.9,0.3653495,6.884,1,-8.9,,,
1/1/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4084815,6.884,0,-6.7,0.4084815,6.884,1,-6.7,,,
1/1/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.41703,6.884,0,-5,0.41703,6.884,1,-5,,,
1/1/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3942955,6.884,788,-3.3,0.3942955,6.884,1,-3.3,,,
1/1/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3645295,6.884,788,-2.2,0.3645295,6.884,1,-2.2,,,
1/1/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.353193,6.884,788,-1.1,0.353193,6.884,1,-1.1,,,
1/1/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.352291,6.884,788,-1.1,0.352291,6.884,1,-1.1,,,
1/1/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.362213,6.884,788,-1.1,0.362213,6.884,1,-1.1,,,
1/1/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.381319,6.884,788,-1.1,0.381319,6.884,1,-1.1,,,
1/1/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4685465,6.884,0,-1.7,0.4685465,6.884,1,-1.7,,,
1/1/2017 19:00,19,1,1,0,0,0,1,1,0,0,0,0,242,0,0.479514,6.884,0,-2.2,0.479514,6.884,1,-2.2,,,
1/1/2017 20:00,20,1,1,0,0,0,1,1,0,0,0,0,242,0,0.443639,6.884,0,-1.1,0.443639,6.884,1,-1.1,,,
1/1/2017 21:00,21,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4227495,6.884,0,-1.7,0.4227495,6.884,1,-1.7,,,
1/1/2017 22:00,22,1,1,0,0,0,1,1,0,0,0,0,242,0,0.387346,6.884,0,-1.1,0.387346,6.884,1,-1.1,,,
1/1/2017 23:00,23,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3754765,6.884,0,-1.7,0.3754765,6.884,1,-1.7,,,
1/2/2017 0:00,0,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3544845,6.884,0,-1.7,0.3544845,6.884,1,-1.7,,,
1/2/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.374554,6.884,0,-3.9,0.374554,6.884,1,-3.9,,,
1/2/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3557145,6.884,0,-2.8,0.3557145,6.884,1,-2.8,,,
1/2/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3605935,6.884,0,-3.3,0.3605935,6.884,1,-3.3,,,
1/2/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3576415,6.884,0,-2.8,0.3576415,6.884,1,-2.8,,,
1/2/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3602655,6.884,0,-1.1,0.3602655,6.884,1,-1.1,,,
1/2/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3846195,6.884,0,-1.1,0.3846195,6.884,1,-1.1,,,
1/2/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.474922,6.884,0,-0.6,0.474922,6.884,1,-0.6,,,
1/2/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5126625,6.884,0,-0.6,0.5126625,6.884,1,-0.6,,,
1/2/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5769505,6.884,0,0,0.5769505,6.884,1,0,,,
1/2/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.7028,6.884,0,0.6,0.7028,6.884,1,0.6,,,
1/2/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.52281,6.884,0,1.7,0.52281,6.884,1,1.7,,,
1/2/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4978,6.884,788,1.7,0.4978,6.884,1,1.7,,,
1/2/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.454955,6.884,788,1.7,0.454955,6.884,1,1.7,,,
1/2/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4498915,6.884,788,0,0.4498915,6.884,1,0,,,
1/2/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.448313,6.884,788,-0.6,0.448313,6.884,1,-0.6,,,
1/2/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.42646,6.884,788,0.6,0.42646,6.884,1,0.6,,,
1/2/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.598537,6.884,788,0.6,0.598537,6.884,1,0.6,,,
1/2/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6618,6.884,0,-0.6,0.6618,6.884,1,-0.6,,,
1/2/2017 19:00,19,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6402135,6.884,0,0.6,0.6402135,6.884,1,0.6,,,
1/2/2017 20:00,20,1,1,0,0,0,1,1,0,0,0,0,242,0,0.575003,6.884,0,1.1,0.575003,6.884,1,1.1,,,
1/2/2017 21:00,21,1,1,0,0,0,1,1,0,0,0,0,242,0,0.640972,6.884,0,1.7,0.640972,6.884,1,1.7,,,
1/2/2017 22:00,22,1,1,0,0,0,1,1,0,0,0,0,242,0,0.556717,6.884,0,2.2,0.556717,6.884,1,2.2,,,
1/2/2017 23:00,23,1,1,0,0,0,1,1,0,0,0,0,242,0,0.391118,6.884,0,0,0.391118,6.884,1,0,,,
1/3/2017 0:00,0,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3703105,6.884,0,0,0.3703105,6.884,1,0,,,
1/3/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.361229,6.884,0,0,0.361229,6.884,1,0,,,
1/3/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.355858,6.884,0,0,0.355858,6.884,1,0,,,
1/3/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3493185,6.884,0,0.6,0.3493185,6.884,1,0.6,,,
1/3/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.341303,6.884,0,0,0.341303,6.884,1,0,,,
1/3/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.341467,6.884,0,-1.1,0.341467,6.884,1,-1.1,,,
1/3/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3609625,6.884,0,-2.2,0.3609625,6.884,1,-2.2,,,
1/3/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.454422,6.884,0,-3.3,0.454422,6.884,1,-3.3,,,
1/3/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5078655,6.884,0,-3.3,0.5078655,6.884,1,-3.3,,,
1/3/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.54372,6.884,0,-4.4,0.54372,6.884,1,-4.4,,,
1/3/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.530231,6.884,0,-4.4,0.530231,6.884,1,-4.4,,,
1/3/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5143435,6.884,0,-3.9,0.5143435,6.884,1,-3.9,,,
1/3/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.572789,6.884,788,-3.3,0.572789,6.884,1,-3.3,,,
1/3/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4810925,6.884,788,-2.8,0.4810925,6.884,1,-2.8,,,
1/3/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.428674,6.884,788,-2.8,0.428674,6.884,1,-2.8,,,
1/3/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4219295,6.884,788,-2.8,0.4219295,6.884,1,-2.8,,,
1/3/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4280795,6.884,788,-2.8,0.4280795,6.884,1,-2.8,,,
1/3/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4992555,6.884,788,-2.8,0.4992555,6.884,1,-2.8,,,
1/3/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6003,6.884,0,-2.8,0.6003,6.884,1,-2.8,,,
1/3/2017 19:00,19,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6003,6.884,0,-2.8,0.6003,6.884,1,-2.8,,,
1/3/2017 20:00,20,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5719485,6.884,0,-2.8,0.5719485,6.884,1,-2.8,,,
1/3/2017 21:00,21,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5306,6.884,0,-2.8,0.5306,6.884,1,-2.8,,,
1/3/2017 22:00,22,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4257015,6.884,0,-2.8,0.4257015,6.884,1,-2.8,,,
1/3/2017 23:00,23,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4582965,6.884,0,-2.8,0.4582965,6.884,1,-2.8,,,
1/4/2017 0:00,0,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3318935,6.884,0,-2.8,0.3318935,6.884,1,-2.8,,,
1/4/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.34856,6.884,0,-2.8,0.34856,6.884,1,-2.8,,,
1/4/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.330233,6.884,0,-2.8,0.330233,6.884,1,-2.8,,,
1/4/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.313218,6.884,0,-2.8,0.313218,6.884,1,-2.8,,,
1/4/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.308462,6.884,0,-3.3,0.308462,6.884,1,-3.3,,,
1/4/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3141815,6.884,0,-3.3,0.3141815,6.884,1,-3.3,,,
1/4/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.34938,6.884,0,-3.3,0.34938,6.884,1,-3.3,,,
1/4/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4032745,6.884,0,-2.8,0.4032745,6.884,1,-2.8,,,
1/4/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.449092,6.884,0,-2.8,0.449092,6.884,1,-2.8,,,
1/4/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4693255,6.884,0,-2.2,0.4693255,6.884,1,-2.2,,,
1/4/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4771155,6.884,0,-1.7,0.4771155,6.884,1,-1.7,,,
1/4/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.503745,6.884,0,-1.7,0.503745,6.884,1,-1.7,,,
1/4/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.50108,6.884,788,-1.1,0.50108,6.884,1,-1.1,,,
1/4/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.47853,6.884,788,-0.6,0.47853,6.884,1,-0.6,,,
1/4/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.390995,6.884,788,-0.6,0.390995,6.884,1,-0.6,,,
1/4/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.40678,6.884,788,-1.1,0.40678,6.884,1,-1.1,,,
1/4/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.387715,6.884,788,-1.1,0.387715,6.884,1,-1.1,,,
1/4/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.523876,6.884,788,-2.8,0.523876,6.884,1,-2.8,,,
1/4/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5667825,6.884,0,-3.9,0.5667825,6.884,1,-3.9,,,
1/4/2017 19:00,19,1,1,0,0,0,1,1,0,0,0,0,242,0,0.574716,6.884,0,-5,0.574716,6.884,1,-5,,,
1/4/2017 20:00,20,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5247165,6.884,0,-5,0.5247165,6.884,1,-5,,,
1/4/2017 21:00,21,1,1,0,0,0,1,1,0,0,0,0,242,0,0.501572,6.884,0,-4.4,0.501572,6.884,1,-4.4,,,
1/4/2017 22:00,22,1,1,0,0,0,1,1,0,0,0,0,242,0,0.442614,6.884,0,-5,0.442614,6.884,1,-5,,,
1/4/2017 23:00,23,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3795765,6.884,0,-6.1,0.3795765,6.884,1,-6.1,,,
1/5/2017 0:00,0,1,1,0,0,0,1,1,0,0,0,0,242,0,0.346182,6.884,0,-7.2,0.346182,6.884,1,-7.2,,,
1/5/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.372299,6.884,0,-7.2,0.372299,6.884,1,-7.2,,,
1/5/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.361762,6.884,0,-6.7,0.361762,6.884,1,-6.7,,,
1/5/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.359671,6.884,0,-7.2,0.359671,6.884,1,-7.2,,,
1/5/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.354382,6.884,0,-8.9,0.354382,6.884,1,-8.9,,,
1/5/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.367912,6.884,0,-12.2,0.367912,6.884,1,-12.2,,,
1/5/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4317695,6.884,0,-14.4,0.4317695,6.884,1,-14.4,,,
1/5/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.516086,6.884,0,-15,0.516086,6.884,1,-15,,,
1/5/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5842485,6.884,0,-13.9,0.5842485,6.884,1,-13.9,,,
1/5/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6003,6.884,0,-13.9,0.6003,6.884,1,-13.9,,,
1/5/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6431655,6.884,0,-11.7,0.6431655,6.884,1,-11.7,,,
1/5/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6265195,6.884,0,-9.4,0.6265195,6.884,1,-9.4,,,
1/5/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.604974,6.884,788,-7.8,0.604974,6.884,1,-7.8,,,
1/5/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.561227,6.884,788,-6.7,0.561227,6.884,1,-6.7,,,
1/5/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.530887,6.884,788,-5.6,0.530887,6.884,1,-5.6,,,
1/5/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5120475,6.884,788,-3.9,0.5120475,6.884,1,-3.9,,,
1/5/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.526131,6.884,788,-3.3,0.526131,6.884,1,-3.3,,,
1/5/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5915055,6.884,788,-4.4,0.5915055,6.884,1,-4.4,,,
1/5/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.70485,6.884,0,-5,0.70485,6.884,1,-5,,,
1/5/2017 19:00,19,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6951535,6.884,0,-5.6,0.6951535,6.884,1,-5.6,,,
1/5/2017 20:00,20,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6455435,6.884,0,-6.7,0.6455435,6.884,1,-6.7,,,
1/5/2017 21:00,21,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5915055,6.884,0,-7.8,0.5915055,6.884,1,-7.8,,,
1/5/2017 22:00,22,1,1,0,0,0,1,1,0,0,0,0,242,0,0.56545,6.884,0,-8.9,0.56545,6.884,1,-8.9,,,
1/5/2017 23:00,23,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5326705,6.884,0,-8.9,0.5326705,6.884,1,-8.9,,,
1/6/2017 0:00,0,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4779355,6.884,0,-10,0.4779355,6.884,1,-10,,,
1/6/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.438391,6.884,0,-11.1,0.438391,6.884,1,-11.1,,,
1/6/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.415636,6.884,0,-11.1,0.415636,6.884,1,-11.1,,,
1/6/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4127865,6.884,0,-12.2,0.4127865,6.884,1,-12.2,,,
1/6/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4046275,6.884,0,-13.9,0.4046275,6.884,1,-13.9,,,
1/6/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4070875,6.884,0,-13.9,0.4070875,6.884,1,-13.9,,,
1/6/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4334505,6.884,0,-14.4,0.4334505,6.884,1,-14.4,,,
1/6/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.49534,6.884,0,-14.4,0.49534,6.884,1,-14.4,,,
1/6/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5286935,6.884,0,-15,0.5286935,6.884,1,-15,,,
1/6/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.546754,6.884,0,-13.9,0.546754,6.884,1,-13.9,,,
1/6/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6413,6.884,0,-13.3,0.6413,6.884,1,-13.3,,,
1/6/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.602637,6.884,0,-12.2,0.602637,6.884,1,-12.2,,,
1/6/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.59702,6.884,788,-11.1,0.59702,6.884,1,-11.1,,,
1/6/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.538882,6.884,788,-11.7,0.538882,6.884,1,-11.7,,,
1/6/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.509649,6.884,788,-11.1,0.509649,6.884,1,-11.1,,,
1/6/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5013055,6.884,788,-11.7,0.5013055,6.884,1,-11.7,,,
1/6/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.502802,6.884,788,-12.2,0.502802,6.884,1,-12.2,,,
1/6/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.544294,6.884,788,-14.4,0.544294,6.884,1,-14.4,,,
1/6/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.719815,6.884,0,-15.6,0.719815,6.884,1,-15.6,,,
1/6/2017 19:00,19,1,1,0,0,0,1,1,0,0,0,0,242,0,0.733017,6.884,0,-17.2,0.733017,6.884,1,-17.2,,,
1/6/2017 20:00,20,1,1,0,0,0,1,1,0,0,0,0,242,0,0.6577205,6.884,0,-17.2,0.6577205,6.884,1,-17.2,,,
1/6/2017 21:00,21,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5915055,6.884,0,-18.9,0.5915055,6.884,1,-18.9,,,
1/6/2017 22:00,22,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5543595,6.884,0,-18.3,0.5543595,6.884,1,-18.3,,,
1/6/2017 23:00,23,1,1,0,0,0,1,1,0,0,0,0,242,0,0.572625,6.884,0,-17.8,0.572625,6.884,1,-17.8,,,
1/7/2017 0:00,0,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4792885,6.884,0,-18.9,0.4792885,6.884,1,-18.9,,,
1/7/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.411864,6.884,0,-18.9,0.411864,6.884,1,-18.9,,,
1/7/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.397268,6.884,0,-19.4,0.397268,6.884,1,-19.4,,,
1/7/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3841275,6.884,0,-20,0.3841275,6.884,1,-20,,,
1/7/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3823235,6.884,0,-20.6,0.3823235,6.884,1,-20.6,,,
1/7/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3842505,6.884,0,-21.1,0.3842505,6.884,1,-21.1,,,
1/7/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.399113,6.884,0,-22.2,0.399113,6.884,1,-22.2,,,
1/7/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4288585,6.884,0,-22.8,0.4288585,6.884,1,-22.8,,,
1/7/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.436587,6.884,0,-21.7,0.436587,6.884,1,-21.7,,,
1/7/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4935565,6.884,0,-18.3,0.4935565,6.884,1,-18.3,,,
1/7/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.53101,6.884,0,-16.1,0.53101,6.884,1,-16.1,,,
1/7/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5338595,6.884,0,-14.4,0.5338595,6.884,1,-14.4,,,
1/7/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5059795,6.884,788,-14.4,0.5059795,6.884,1,-14.4,,,
1/7/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.454422,6.884,788,-13.3,0.454422,6.884,1,-13.3,,,
1/7/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4295145,6.884,788,-12.8,0.4295145,6.884,1,-12.8,,,
1/7/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.402557,6.884,788,-13.3,0.402557,6.884,1,-13.3,,,
1/7/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4008145,6.884,788,-13.9,0.4008145,6.884,1,-13.9,,,
1/7/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5074145,6.884,788,-16.1,0.5074145,6.884,1,-16.1,,,
1/7/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.616085,6.884,0,-16.7,0.616085,6.884,1,-16.7,,,
1/7/2017 19:00,19,1,1,0,0,0,1,1,0,0,0,0,242,0,0.599316,6.884,0,-18.3,0.599316,6.884,1,-18.3,,,
1/7/2017 20:00,20,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5515715,6.884,0,-18.3,0.5515715,6.884,1,-18.3,,,
1/7/2017 21:00,21,1,1,0,0,0,1,1,0,0,0,0,242,0,0.515635,6.884,0,-19.4,0.515635,6.884,1,-19.4,,,
1/7/2017 22:00,22,1,1,0,0,0,1,1,0,0,0,0,242,0,0.474963,6.884,0,-20,0.474963,6.884,1,-20,,,
1/7/2017 23:00,23,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4259885,6.884,0,-19.4,0.4259885,6.884,1,-19.4,,,
1/8/2017 0:00,0,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3658005,6.884,0,-20,0.3658005,6.884,1,-20,,,
1/8/2017 1:00,1,1,1,0,0,0,1,1,0,0,0,0,242,0,0.351184,6.884,0,-21.1,0.351184,6.884,1,-21.1,,,
1/8/2017 2:00,2,1,1,0,0,0,1,1,0,0,0,0,242,0,0.342,6.884,0,-21.1,0.342,6.884,1,-21.1,,,
1/8/2017 3:00,3,1,1,0,0,0,1,1,0,0,0,0,242,0,0.338105,6.884,0,-21.1,0.338105,6.884,1,-21.1,,,
1/8/2017 4:00,4,1,1,0,0,0,1,1,0,0,0,0,242,0,0.337285,6.884,0,-21.1,0.337285,6.884,1,-21.1,,,
1/8/2017 5:00,5,1,1,0,0,0,1,1,0,0,0,0,242,0,0.33667,6.884,0,-21.7,0.33667,6.884,1,-21.7,,,
1/8/2017 6:00,6,1,1,0,0,0,1,1,0,0,0,0,242,0,0.3516145,6.884,0,-21.7,0.3516145,6.884,1,-21.7,,,
1/8/2017 7:00,7,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4199,6.884,0,-21.7,0.4199,6.884,1,-21.7,,,
1/8/2017 8:00,8,1,1,0,0,0,1,1,0,0,0,0,242,0,0.481974,6.884,0,-21.1,0.481974,6.884,1,-21.1,,,
1/8/2017 9:00,9,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5143435,6.884,0,-17.2,0.5143435,6.884,1,-17.2,,,
1/8/2017 10:00,10,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5594435,6.884,0,-14.4,0.5594435,6.884,1,-14.4,,,
1/8/2017 11:00,11,1,1,0,0,0,1,1,0,0,0,0,242,0,0.5389435,6.884,0,-12.8,0.5389435,6.884,1,-12.8,,,
1/8/2017 12:00,12,1,1,0,0,0,1,1,0,0,0,0,242,0,0.46705,6.884,788,-12.2,0.46705,6.884,1,-12.2,,,
1/8/2017 13:00,13,1,1,0,0,0,1,1,0,0,0,0,242,0,0.432528,6.884,788,-10.6,0.432528,6.884,1,-10.6,,,
1/8/2017 14:00,14,1,1,0,0,0,1,1,0,0,0,0,242,0,0.425517,6.884,788,-10,0.425517,6.884,1,-10,,,
1/8/2017 15:00,15,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4231185,6.884,788,-9.4,0.4231185,6.884,1,-9.4,,,
1/8/2017 16:00,16,1,1,0,0,0,1,1,0,0,0,0,242,0,0.4222165,6.884,788,-9.4,0.4222165,6.884,1,-9.4,,,
1/8/2017 17:00,17,1,1,0,0,0,1,1,0,0,0,0,242,0,0.433512,6.884,788,-10,0.433512,6.884,1,-10,,,
1/8/2017 18:00,18,1,1,0,0,0,1,1,0,0,0,0,242,0,0.484311,6.884,0,-10,0.484311,6.884,1,-10,,,
